"","diversity.tree.div..index....shannon.."
"achotines",2.28759769170811
"bci10haplot",3.99946715303436
"campochagres",2.51999177136461
"caritas",2.59898721108078
"cerrogalera",2.54576640206386
"cerrolatorre",3.02191929974016
"cerropeladocihhutp",2.71870984816252
"coba1",4.055937657158
"coba2",4.3401212412249
"cocoli",3.78148763376908
"coronado",2.42712583499621
"elcharco",3.70150481505114
"fincaroubik",4.19359813816123
"gavilan",4.01554600015688
"gigante1",4.25826525270926
"gigante2",4.07349341879472
"ina",2.37532776749444
"lp1",4.20538658549551
"lp2",3.95673844719378
"metrop",3.11595799947482
"metrop2",3.170479701025
"p01",3.13006991037923
"p02",4.18364645207855
"p03",4.20405305012669
"p04",4.39099935483032
"p05",3.95709558954794
"p06",4.04201525849357
"p07",4.15278801629724
"p08",4.05592736207266
"p09",4.15121974159275
"p10",3.58413400137684
"p11",3.90986042276118
"p12",3.52265007581089
"p13",3.14163550140276
"p14",4.03143366690702
"p15",3.81155127414635
"p16",3.88956555143034
"p17",3.43169680246958
"p18",3.97150958372029
"p19",4.21830861638917
"p20",4.04343013688616
"p21",3.90581344991748
"p22",3.70552833647202
"p23",2.93889525833161
"p24",3.45355101830241
"p25",3.80660743488346
"p26",3.40229318605442
"p27",3.69958493845707
"p28",3.61249478828204
"p29",3.4399736809885
"p30",3.49770144777338
"p33",3.95364584000757
"p34",3.81195494051373
"p35",3.94865378140002
"p36",4.05179217522866
"p37",4.2046758234588
"p38",4.20612095976667
"p39",3.76378044007922
"p40",3.21596498608415
"p41",3.85608315195876
"panamapacifico",3.6165375887403
"plot31",5.001248674187
"plot32",4.51844300772055
"sherman",4.39021649680766
"soberania",1.59180141792917
